0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:27 +0530] "GET /ResumeClassification/pages/searchCandidates.jsp HTTP/1.1" 200 12784
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:31 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 13241
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:34 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=6 HTTP/1.1" 200 9285
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:47 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 13241
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:50 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:51 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:31 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:42 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:43 +0530] "GET /ResumeClassification/pages/searchCandidates.jsp HTTP/1.1" 200 12784
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:44 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:45 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:45 +0530] "GET /ResumeClassification/pages/searchCandidates.jsp HTTP/1.1" 200 12784
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:46 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 13241
